date, time, show, episode, synopsis
20220628, 00:07, Miraculous, Les aventures de Ladybug et Chat Noir, Oblivio, Quand Ladybug et Chat Noir reprennent conscience dans un ascenseur de la Tour Montparnasse, ils se rendent compte qu’ils ont perdu la mémoire. Ils se détransforment et redeviennent Marinette et Adrien l’un devant l’autre.  Impossible pour leurs kwamis de les aider, car ils ont eux aussi tout oublié. Et Plagg, bien décidé à profiter de cette nouvelle liberté, les abandonne sur place ! Alors qu’ils tentent de rassembler les morceaux du puzzle, Marinette et Adrien s’aperçoivent qu’un mystérieux vilain rôde dans la Tour… Nos héros amnésiques parviendront-ils à retrouver la mémoire ?
20220628, 00:29, Phinéas et Ferb, Les héros de l'ouest/ La neige en été, Phinéas et Ferb visitent un ranch. Soudain, toutes les vaches s'échappent vers la ville. / Quand leur père leur offre une machine à faire des glaces, Phinéas et Ferb ont une grande idée : créer l'hiver en plein milieu de l'été.
20220628, 00:51, Alex & Co, Épisode 15, Alex essaye de trouver un moyen de ne pas partir aux États-Unis avec ses parents. Il espère que son frère acceptera de le garder.Linda et Tom souhaite que Mathieu gagne la confiance de Christian et ses amis pour pouvoir se venger.
20220628, 01:14, Alex & Co, Épisode 16, Linda et ses amies se sont inscrites elles aussi au jeu télévisé, simplement pour faire du tort à Alex et son groupe. Sam se porte volontaire pour donner des cours de soutien, il pense rencontrer Math Girl mais en réalité, on lui confie Rebecca. Alex s'inquiète pour sa maman; il la trouve faible et fatiguée.
20220628, 01:59, Alex & Co, Épisode 17, Christian, Nicole, Emma et Sam se demandent s'ils doivent se présenter à l'émission The Talent sans Alex, leur leader. Le nom de leur groupe devient Alex & Co.Linda et ses copines annoncent leur participation à  The Talent. Linda et Tom décident de faire en sorte qu'Emma craque pour Mathieu.Alex apprend que sa mère est enceinte. Le déménagement est annulé.
20220628, 02:00, Sadie Sparks, Le concours de mascottes / Comme un gant, Val demande l'organisation d'une compétition de mascottes, car elle pense que son carlin Prince ferait une bien meilleure mascotte que Gilbert. Ce dernier est inquiet parce qu'il pourrait perdre son accès privilégié à l'école de Sadie. / Sadie reçoit un gant magique qui peut changer les portes ordinaires en portails vers une autre pièce ou un autre lieu. La jeune fille et ses amis en profitent pour faire une partie de cache-cache épique dans l'école.
20220628, 02:22, Sadie Sparks, La flortilège d'invisibilité  / Les chaussures de Lulu, L'école a organisé une sortie nature dans la forêt pour la classe de Sadie.Malheureusement, son sens de l'orientation lui joue des tours et voilà que le petit groupe s'égare. Forcés de passer la nuit dehors dans un camp de fortune non loin d'une grotte. Mais la grotte mène vers le royaume magique. / Tandis que Gilbert se prépare avec anxiété à affronter les Anciens à l'occasion de son évaluation annuelle, une lapine arrive dans la maison des Sparks et s'intéresse d'un peu trop près à Gilbert...
20220628, 02:44, Sadie Sparks, Mentors de Malheur / Créatures en folie, Gilbert et Sadie se disputent devant les Anciens qui les renvoient chez eux en leur ordonnant de préparer un sortilège de transformation. Le duo est toujours en froid quand une chatte magique, Purrpetua, se glisse dans la maison. / Une autre faille s'est ouverte entre le monde des humains et le royaume magique. Les Anciens font appel à Sadie pour les aider à réparer cette déchirure, mais la jeune fille insiste pour garder avec elle une pastèque.
20220628, 03:07, Miraculous, Les aventures de Ladybug et Chat Noir, La Marionnettiste 2, Alors que Marinette garde la petite Manon, Alya l’appelle pour lui dire qu’Adrien a une séance de pose au Musée Grévin où est exposée sa statue de cire. Alya, Nino, Manon et une Marinette surexcitée accompagnent donc Adrien au musée, où Alya et Nino complotent pour faire en sorte que Marinette se retrouve seule avec Adrien. Complètement délaissée par les grands, qui ne veulent pas jouer avec elle, Manon est de nouveau akumatisée en Marionnettiste. Armée de sa baguette magique, elle peut donner vie aux statues de cire des supervilains et leur rendre leurs pouvoirs d’origines.
20220628, 03:28, Miraculous, Les aventures de Ladybug et Chat Noir, Chat Blanc, Marinette brave l'interdit en utilisant ses pouvoirs à des fins personnelles : elle se transforme en Ladybug et dépose un cadeau signé Marinette chez Adrien... qui la voit sortir et comprend la vérité ! Ladybug croise ensuite Bunny, la super-héroïne du futur. Bunny est venue la chercher car l’erreur de Marinette a eu des conséquences désastreuses sur l’avenir. Elle emmène Ladybug avec elle dans le futur, où la super-héroïne découvre un Paris ravagé par la dernière personne qu’elle aurait crue capable de se faire akumatiser… Chat Noir ! Ladybug arrivera-t-elle à réparer son erreur ?
20220628, 03:50, Miraculous, Les aventures de Ladybug et Chat Noir, Felix, C’est l’anniversaire de la disparition de la maman d'Adrien. Pour l’occasion, son cousin Félix lui rend visite, et ses amis enregistrent une vidéo dans laquelle ils lui disent tous un mot gentil… et où Marinette lui avoue ses sentiments ! Mais Félix subtilise le téléphone d’Adrien et, profitant de leur ressemblance frappante, enregistre à son tour une vidéo… remplie de messages méchants ! Blessées, Alya, Rose et Juleka sont akumatisées en Trio des Punisseuses. Dotées des pouvoirs de Lady Wifi, Princesse Fragrance et Reflekta, elles veulent se venger d’Adrien, pourtant non responsable !
20220628, 04:12, Miraculous, Les aventures de Ladybug et Chat Noir, Ladybug, Voyant Adrien se rapprocher toujours plus de Marinette, Lila décide de se venger. Elle manipule tous les proches de Marinette pour qu’ils se retournent contre elle, et réussit même à la faire renvoyer du collège ! Marinette est désemparée, mais un autre problème majeur l’attend. En effet, ignorant l’ordre de Gabriel de ne plus jamais utiliser le Miraculous du Paon, Nathalie se transforme en Mayura et crée un nouveau sentimonstre… à l’image de Ladybug ! Manipulant le sentimonstre, elle veut s’emparer des Miraculous de Ladybug et Chat Noir en semant la zizanie entre les deux super-héros.
20220628, 04:34, Miraculous, Les aventures de Ladybug et Chat Noir, Mangeamour (La Bataille des Miraculous - partie 1), Marinette aide Adrien et Kagami à échapper à une cérémonie organisée par le couple Bourgeois pour leurs vingt ans de mariage. Les trois amis s’amusent jusqu’à ce que Marinette, voyant Adrien et Kagami si complices, décide de se sacrifier et de les laisser seuls. Pendant ce temps, l’anniversaire des Bourgeois tourne mal et ils se font akumatiser. Devenus Mangeamour, un cerbère à deux têtes, ils dévorent tout l’amour dans Paris. Dépassée par ce vilain surpuissant, Ladybug va chercher de l’aide auprès de Maître Fu. Mais, encore bouleversée par son sacrifice amoureux, elle commet une grave erreur…
20220628, 04:56, Miraculous, Les aventures de Ladybug et Chat Noir, Miracle Queen (La Bataille des Miraculous - partie 2), A cause de l’erreur de Marinette, le Papillon akumatise Chloé en Miracle Queen. A l’aide de ses guêpes, elle prend le contrôle de tout Paris et force les porteurs de Miraculous à venir se mettre à son service, révélant ainsi au Papillon leurs identités secrètes. Grâce aux sacrifices de Luka et Kagami, Marinette et Adrien échappent aux piqûres fatales et peuvent se transformer. Ladybug et Chat Noir arriveront-ils à sauver leurs amis, passés sous le contrôle de Papillon et Miracle Queen ?
20220628, 05:17, Miraculous, Les aventures de Ladybug et Chat Noir, Climatika, Aurore Boréale est la perdante d’un concours où les téléspectateurs devaient voter pour élire la nouvelle miss météo de la chaîne Kidz Plus. Akumatisée par Le Papillon, elle devient Climatika et se venge de tous ceux qui n’ont pas voté pour elle. Ladybug et Chat Noir vont devoir lutter contre son pouvoir qui plonge Paris dans un chaos météorologique.Journée orageuse pour Marinette ! Elle a la responsabilité de garder Manon, une petite fille qui met à mal son sens de l’autorité, alors qu’au même moment, Adrien, l’élu de son cœur, est en pleine séance photos au parc.
20220628, 05:39, 101, rue des Dalmatiens, Le Jour de la Soif / Léonarchiot Da Vinci, Les Dalma-chiots vont se baigner dans l'étang le jour le plus chaud de l'année. Da Vinci fait de la peinture dans la rue, ce qui fait sensation chez les humains.
20220628, 06:01, Mickey Mouse (Courts-métrages), Un zombie Dingo, Mickey tombe en panne de voiture près d'un cimetière. Commence alors une poursuite entre un zombie Dingo et Mickey.
20220628, 06:05, Miraculous, Les aventures de Ladybug et Chat Noir, Maître Noël, Alors que Marinette garde Noël, le petit frère de Nino, l’enfant découvre sa réserve de cadeaux pour Adrien. Très gênée, Marinette lui fait croire qu’elle est un lutin du Père Noël, et Noël demande à avoir son cadeau tout de suite. Quand Marinette refuse, Noël se fait akumatiser par le Papillon. Devenu Maître Noël et armé d’une boule à neige magique, il envoie des jouets géants semer le chaos dans un Paris enneigé pour retrouver le Père Noël et avoir son cadeau en avance. Ladybug et Chat Noir ne devront pas lui faire de cadeau s’ils veulent arrêter ce jeune super vilain !
20220628, 06:27, Miraculous, Les aventures de Ladybug et Chat Noir, Gamer 2.0, Max a mis au point un nouveau jeu vidéo dans lequel les anciens akumatisés peuvent se battre les uns contre les autres. Mais aucun de ses amis ne peut l’aider à le tester car ils ont tous d’autres occupations. Marinette, elle, aimerait beaucoup aider Max, mais elle est encore plus débordée que d’habitude et a décidé d’arrêter les jeux vidéo. Déçu que même Marinette, la plus grande fan de jeux vidéo, rejette sa proposition, Max est à nouveau akumatisé par le Papillon. Devenu Gamer 2.0, il capture tous les anciens akumatisés et les enferme dans une version grandeur nature de son jeu !
20220628, 06:50, Moi, Elvis Reboldi, Moi, Elvis, et la cabane au bord du lac, Elvis et ses amis ont organisé un anniversaire surprise pour Emma, dans une cabane au bord d'un lac. Mais des événements très étranges s'y déroulent, on se croirait en plein film d'horreur. Elle serait pas hantée cette cabane ? 
20220628, 07:01, Moi, Elvis Reboldi, Moi, Elvis, et papy Riboldi, Pour la fête des pères, Elvis offre à Léonidas une journée avec son propre père: Grand Pa Riboldi ! Mais ce général à la retraite semble en conflit de longue date avec son fils pâtissier. Suite à un pique-nique qui tourne au vinaigre, les 3 générations se retrouvent perdues dans le bois. Cette épreuve rendra-t-elle la situation pire ou meilleure ? 
20220628, 07:13, Moi, Elvis Reboldi, Moi, Elvis, et tata Florence, Pinky accepte d'offrir à Elvis le dernier jeu vidéo qui vient de sortir et qui coûte un bras. Mais il devra en échange, se faire passer pour lui, le temps d'une journée qu'il doit passer avec son horrible « Tata Florence », heureusement myope comme une taupe. Elvis saura-t-il jouer ce rôle et obtenir le jeu qu'il convoite ? 
20220628, 07:24, Moi, Elvis Reboldi, Moi, Elvis, et la famille Pétoche, Elvis est invité chez Benny Pétoche, le copain froussard surprotégé par ses parents. Mais pour s'amuser dans la vie, il faut savoir prendre des risques ! Et ça c'est la spécialité d'Elvis. Benny pétoche en sortira-t-il grandi ou rentrera-t-il aux urgences ? 
20220628, 07:35, Hôtel Transylvanie - La Série, Wenda – mode d’emploi, Mavis apprend que la meilleure façon de faire entrer l'hôtel dans l’ère moderne est d'utiliser la technologie sans fil. Elle fait donc démonter toutes les toiles d'araignée, mais l'hôtel est déconnecté et plongé dans l’obscurité. Oups.
20220628, 07:47, Hôtel Transylvanie - La Série, Du sable et des paillettes, Pedro et sa demi-sœur Wendy ont besoin d'un arbitre pour faire pencher la balance en leur faveur et les départager. Mais ils vont avoir une grosse surprise. Pourquoi ? Parce que M. Blob attend un enfant !
20220628, 08:00, Hôtel Transylvanie - La Série, La peur donne des ailes, Mavis et ses amis aident Hank à surmonter ses peurs en faisant un peu de panicothérapie. Mais cela fonctionne si bien que soudain, Hank n'a plus peur de rien ! Une nouvelle vie d’outre-tombe s’ouvre devant lui.
20220628, 08:12, Hôtel Transylvanie - La Série, Une amitié tragique, Mavis veut une journée pour faire tout ce dont elle a envie, ce qui l’amène à raconter un petit mensonge. Résultat : elle est maintenant dans une ligue de bowling avec tante Lydia !
20220628, 08:24, Baymax et les Nouveaux Héros, Big Hero 6 The Series S3 Splits, Big Hero 6 responds to Richardson’s every whim when he is made mayor for the day. 
20220628, 08:35, Baymax et les Nouveaux Héros, Big Hero 6 The Series S3 Splits, Hiro enlists the help of the team when Granville's three dogs go missing whilst under his watch!
20220628, 08:48, Baymax et les Nouveaux Héros, Fanfictions à rebonds, Alors que la ville fait face à des attaques de plusieurs Noodle Burger Boys, Hiro doit faire appel à son imagination pour rédiger un devoir. Ses amis tentent de l'aider.
20220628, 09:10, Phinéas et Ferb, Mission D'infiltration, Carl va espionner incognito Phineas et Ferb pour savoir s’ils sont de mèche avec Doofensmirtz...
20220628, 09:22, Phinéas et Ferb, La grande parade, C’est le jour de la parade de l’Unification des Trois Etats et Phineas et Ferb décident de faire de ce jour une date mémorable...
20220628, 09:34, Phinéas et Ferb, A Travers, Phinéas et Ferb inventent un système leur permettant de passer à travers toutes les choses. Doofensmirtz complote pour détruire la statue de son frère, le maire de Danville...
20220628, 09:45, Phinéas et Ferb, Le Malbouffe-Inateur, Phinéas et Ferb aident Candice à organiser le mariage de leur tante. Doofensmirtz invente le Malboufe-inateur pour rendre tous les habitants de Danville gras et paresseux.
20220628, 09:59, Phinéas et Ferb, L’invasion Des Extra-Terrestres, Candice est convaincue que Ferb a été remplacé par un extra-terrestre.
20220628, 10:11, Phinéas et Ferb, Un Tour De Manège ?, Phinéas et Ferb bricolent la fusée du manège de leur enfance.
20220628, 10:24, La loi de Milo Murphy, C'est que le début, Amanda aide Milo, Zack et Melissa à se préparer pour leur concert de l'après-midi.
20220628, 10:35, La loi de Milo Murphy, L'ombre de Milo, Doof veut apprendre à être quelqu'un de bien et décide de suivre Milo pendant une journée, mais le résultat est catastrophique.
20220628, 10:47, La loi de Milo Murphy, Analyse extraterrestre, Les extraterrestres tentent de prélever un échantillon biologique provenant de Milo mais Le Chien s'interpose.
20220628, 10:58, La loi de Milo Murphy, Nous, Les Filles, Le concours de fabrication de robots menace d'engendrer un cataclysme. Melissa se retrouve par hasard dans la machine temporelle de Savannah. Toutes les deux remontent le temps pour éviter la catastrophe.
20220628, 11:11, La loi de Milo Murphy, Les Trois Travaux de Zack, Zack doit s'occuper de la ferme de son oncle pour la journée et y accomplir différentes tâches paysannes. Milo et Melissa l'accompagnent à la campagne. Cavendish et Dakota cherchent des détritus d'extraterrestres dans les champs de maïs.
20220628, 11:23, Hôtel Transylvanie - La Série, Nom d’une petite peste !, Pour d'innocentes raisons, Mavis fait croire à ses amis que c'est son anniversaire, mais ça n'arrange pas du tout La Mort qui décide de renvoyer Mavis à l'état de bébé.
20220628, 11:34, Hôtel Transylvanie - La Série, Les nouveaux habits de tante Lydia, Tante Lydia reçoit son poncho d'invisibilité et il est fantastique. Bien sûr, Mavis et ses amis jouent avec le vêtement et le détruisent par mégarde. Les voilà donc obligés de faire croire à Tante Lydia qu'elle est invisible.
20220628, 11:48, Hôtel Transylvanie - La Série, Le client a toujours raison, Grâce à des lunettes magiques prescrites par erreur, Wendy peut lire dans les pensées. Mavis met ce pouvoir de voyance à profit pour anticiper les désirs des clients, mais bien sûr la chose tourne mal.
20220628, 11:59, Hôtel Transylvanie - La Série, Parlez-vous le blobien?, Pedro veut apprendre le blobien, mais plutôt que de suivre des cours, il a recours à la magie. Malheureusement, ce sont tous les occupants de l'hôtel qui se mettent à parler blobien et rien d'autre.
20220628, 12:12, Les Green à Big City, Les biscuits de Grand-Mère, Grand-Mère prépare les meilleurs biscuits de tous les temps lorsque les enfants se font mal.
20220628, 12:23, Les Green à Big City, Les mouffettes, Cricket provoque la panique en introduisant des mouffettes au café, et la situation devient hors de contrôle.
20220628, 12:35, Les Green à Big City, Grosse colère, Nancy détruit accidentellement Saxon et Tilly passe à tort sa colère sur sa grand-mère.
20220628, 12:46, Les Green à Big City, Big City Greens S1 Splits Ep 30a, Remy et Cricket prennent un appartement et n'ont pas conscience de ce qu'il faut faire pour l'entretenir.
20220628, 12:59, Les Green à Big City, Tilly bénévole, Tilly fait du bénévolat dans un refuge pour animaux et s'attache beaucoup à eux.
20220628, 13:11, Souvenirs de Gravity Falls, Un puit d'histoires, Stan, Dipper, Mabel et Mousse se débarrassent de tout ce dont ils ne veulent plus dans le puits sans fond, lorsqu’ils sont soudainement pris dans une grosse tempête.
20220628, 13:34, Souvenirs de Gravity Falls, Mes idoles sont des clones !, Mabel et ses amies vont voir un boys band en concert et découvrent que le groupe est composé d’humanoïdes contrôlés par un homme d’affaires très riche. Mabel les aide à s’échapper, mais a ensuite du mal à les laisser partir.
20220628, 13:57, La loi de Milo Murphy, L'idole de Milo, Milo veut un autographe de son acteur favori, Tobias Trollhammer, qui tourne un film en ville.
20220628, 14:08, La loi de Milo Murphy, Le désastre de mes rêves, Elliott Decker postule pour devenir chef de la sécurité.
20220628, 14:20, La loi de Milo Murphy, Les origines du robot CIDD, Milo, Zack et Melissa mènent l'enquête sur un robot.
20220628, 14:31, La loi de Milo Murphy, Somnambulisme dans les bois, Milo fait une crise de somnambulisme dans les bois.
20220628, 14:45, Miraculous, Les aventures de Ladybug et Chat Noir, Princesse Fragrance, La journée commence mal pour Marinette : non seulement Tikki est très malade, mais à force de repousser le moment de la faire soigner, notre héroïne finit par la perdre par négligence ! Pendant ce temps, Rose, une élève du collège très romantique, est akumatisée par Le Papillon. Devenue Princesse Fragrance et armée de son flacon de parfum, elle sème une pagaille parfumée dans toute la capitale et enlève l’élu de son cœur, un prince en visite à Paris.Chat Noir s’étant fait envoûter par Princesse Fragrance, c’est à Ladybug d’affronter seule la méchante… et Chat Noir !
20220628, 15:07, Miraculous, Les aventures de Ladybug et Chat Noir, Le Gamer, Adrien et Max doivent représenter le collège en binôme lors d’un important tournoi de jeux vidéo. Mais Marinette a une autre idée en tête ! Pour pouvoir passer du temps avec Adrien, elle parvient à prendre la place de Max en le battant au jeu lors d’un défi improvisé. Mais ce qu’elle n’avait pas prévu, c’est qu’Adrien devrait venir chez elle pour s’entraîner ! Aussi troublée qu’excitée, Marinette n’aura cependant pas le temps de profiter de ce rendez-vous improvisé car, entre-temps, Max, déçu et humilié, s’est fait akumatiser.
20220628, 15:30, Droners S1, La Course aux Fantômes, Coincés par une tempête, les Tikis et les Mirages doivent passer la nuit dans le circuit du Manoir. Tombant nez à nez avec des fantômes, Corto et Mouse sont persuadées que le manoir est hanté. Mais Enki découvre qu’il s’agit d’une farce des Mirages pour les déstabiliser avant la course. Problème : les Mirages ont utilisé un device Teach Tech qui a fait planter tout le circuit et les créatures mécaniques deviennent folles mettant tout le monde en danger. Les Tikis sont maintenant prévenus : tout le monde ne joue pas à la loyale…
20220628, 15:53, Hotel Transylvanie, Les punaises de vérité, Captivée pendant des jours par un interminable jeu vidéo, Mavis en oublie d’accomplir ses tâches d’employée d’hôtel et notamment de placer des punaises dans tous les lits. Réparant son oubli dans la précipitation, Mavis se trompe de bestioles et infeste les lits avec des punaises de vérité. Bientôt tous les clients de l’hôtel ne peuvent s’empêcher de dire ce qu’ils pensent et l’hôtel sombre dans le chaos !
20220628, 16:05, Hotel Transylvanie, Amitié de pierre, Mavis se persuade que le caractère de cochon de Tante Lydia est dû au fait qu’elle n’a pas d’amis. Elle décide donc d’inviter à l’hôtel l’ancienne « amie » de Lydia à l’école, Médusa. Sauf que l’amie en question était plutôt l’ennemie jurée de Lydia. Mavis aggrave son cas quand elle se retrouve avec la perruque de serpents de Méduse coincée sur la tête et qu’elle transforme son invitée en statue de pierre !
20220628, 16:18, La Bande à Picsou, Le canard le plus riche du monde !, Loulou, Picsou et Lily Bouillotte doivent fuir devant un monstre invulnérable dont la mission est de traquer le canard le plus riche du monde.
20220628, 16:40, Luz à Osville, Piège mental, Une mésaventure magique transporte Luz et Hunter dans une nouvelle dimension mentale… et c'est une vrai cauchemar tordu !
20220628, 17:04, Amphibia, Frog-Man, Déterminé à marquer la Terre de son empreinte, Sprig se transforme en super-héros !
20220628, 17:15, Amphibia, Olivia & Yunan, À Amphibia, Olivia et Yunan essaient de sauver Marcy. 
20220628, 17:28, Boy Girl Etc..., Détective Dog, Quand la famille accepte d’assurer la surveillance du quartier, Dog prend sa tâche un peu trop au sérieux. Surtout quand il découvre une sombre affaire de kidnapping de fromages en série… Jusqu’où sera-t-il prêt à aller pour faire triompher l’ordre et la justice ?
20220628, 17:39, Boy Girl Etc..., Tics Antipathiques, Nos frères et sœurs préférés décident de se débarrasser de leurs mauvaises habitudes respectives, qui tapent sur les nerfs de toute la famille. Mais ils craquent les uns après les autres. Toute la pression repose alors sur Boy et Girl, les deux derniers en lice...
20220628, 17:52, Miraculous : Les aventures de Ladybug & Chat Noir, Gabriel Agreste, Nathaniel et Marc ont une stratégie pour que Marinette déclare son amour à Adrien. Leur plan se déroulera au collège, seul endroit où Adrien n’est pas sous le contrôle de son père. Mais Chloé a filmé leur réunion et menace de tout révéler à Gabriel pour qu’il ne laisse plus jamais Adrien se rendre au collège. Chloé ira ce soir chez Gabriel, seul endroit où Marinette ne peut entrer. Mais c’est sans compter sur l’imagination de Nathaniel et Marc. Marinette déguisée en serveur s’infiltre chez les Agreste… où un super vilain s’est aussi invité. Ladybug parviendra-t-elle à sauver la soirée ? 
20220628, 18:16, Miraculous, Les aventures de Ladybug et Chat Noir, Climatika 2, Alors que Marinette et Adrien discutent avec leurs kwamis respectifs et se rendent compte de combien leurs vies ont changé depuis qu’ils sont devenus Ladybug et Chat Noir, Aurore Boréale est à nouveau akumatisée après une méchante réflexion de Chloé. Devenue Climatika 2, elle veut prouver sa puissance en plongeant la Terre dans un hiver perpétuel. Pour l’arrêter, Ladybug et Chat Noir devront faire preuve de sang-froid !
20220628, 18:40, Ghost Force, Grordure, Pour plaire à Carla, Andy s’asperge de parfum et réveille accidentellement Spong, un fantôme pestilentiel qui se change en poubelle géante ! Ça sent mauvais pour la Ghostforce… 
20220628, 18:51, Ghost Force, Mikroo, La Ghostforce doit arrêter Mikroo, un petit fantôme qui a le pouvoir de miniaturiser tout ce qui l’effraye… Y compris nos héros. Seront-ils à la hauteur ?
20220628, 19:05, Sydney Au Max , Il est trop bien, Quand Harry annonce à Sydney qu'il revient définitivement à Portland, cete dernière a peur de voir comment leur relation a évolué avec la distance.
20220628, 19:29, Disney Fam Jam, Défis en famille, Disney Fam Jam, Défis en famille, Animé par Ariel Martin et Trevor Tordjman de ZOMBIES 2, des familles de toute l'Amérique se réunissent pour s'affronter dans le tout nouveau spectacle de compétition de danse de Disney Channel, Fam Jam ! Entraînés par le chorégraphe primé Phil Wright, les membres des familles sortiront de leur salon et se mettront sous le feu des projecteurs pour voir s'ils ont les épaules pour être les prochains champions et gagner un prix de 10 000 dollars en espèces.
20220628, 19:57, Jessie, Joyeux anniversaire, Bertrand !, Jessie fait venir par avion la maman de Bertrand pour l’anniversaire de ce dernier. Luke tente de trouver une idée originale pour le projet de science qu’il doit présenter avec Ravi.
20220628, 20:20, Raven, Sleevemore Partie 2 : Retrouvé, Nia découvre que les visions de Booker sont dans ses yeux. Tess la convainc de garder les visions pendant quinze jours.
20220628, 20:43, Camp Kikiwaka, La Grotte, Comme Matteo et Finn en ont assez d'être espionnés par Ravi, ce dernier décide d'utiliser un drone pour les surveiller.
20220628, 21:07, Bia, Episode 16, Bia pense que Manuel a donné la vidéo d'elle en train de chanter à Alex. À la résidence, tout le monde s'inquiète pour Bia car elle réagit mal quand elle découvre que cette vidéo d'elle est sur internet. Guillermo et Marcos mettent au point un plan pour se débarrasser de Manuel. Ana voit la vidéo de Bia et des souvenirs lui reviennent. Le plan de Guillermo fonctionne à merveille. Victor reçoit un appel téléphonique important.
20220628, 21:44, Soy Luna, Episode 7, Simon fait tout pour ne pas se faire repérer dans la résidence Benson. Il se retrouve enfermé à clé dans la remise et rate les premières répétitions avec le groupe.Jim et Yam se disputent au sujet de la compétition de patinage. Luna voudrait s'inscrire à la compétition mais ne se sent pas encore à la hauteur. Matteo lui propose de l'entraîner. Sharon et Rey essayent de découvrir qui est à l'origine des appels anonymes qui semblent être liés à Roberto.
20220628, 22:26, Miraculous, Les aventures de Ladybug et Chat Noir, Papa Garou, Quand Chat Noir manque de comprendre que Marinette est Ladybug, Marinette panique et lui fait croire qu’elle est amoureuse de lui pour détourner son attention. Mais ses parents assistent à sa déclaration, et Tom, absolument ravi, décide d’inviter Chat Noir à déjeuner chez les Dupain-Cheng. Mais quand le super-héros leur avoue qu’il n’est pas amoureux de Marinette, Tom a le coeur brisé et se fait akumatiser par le Papillon. Devenu Papa Garou, un immense homme-chien de garde monstrueux, il enferme Marinette dans une prison de ronces pour la protéger du monde extérieur et des peines de coeur.
20220628, 22:49, Miraculous, Les aventures de Ladybug et Chat Noir, Silence, Bob Roth, père et producteur du célèbre XY, lance un appel d’offre visant à trouver de nouveaux talents. Marinette y voit une occasion en or pour les Kitty Section de se faire connaître du grand public. Elle les aide donc à réaliser et envoyer un clip pour lequel elle crée elle-même les décors et les costumes. Mais bientôt, Marinette et ses amis s’aperçoivent que Bob Roth a volé les créations de Marinette pour son fils XY. Furieux pour celle dont il est amoureux, Luka est akumatisé par le Papillon.
20220628, 23:11, Miraculous, Les aventures de Ladybug et Chat Noir, Maître Noël, Alors que Marinette garde Noël, le petit frère de Nino, l’enfant découvre sa réserve de cadeaux pour Adrien. Très gênée, Marinette lui fait croire qu’elle est un lutin du Père Noël, et Noël demande à avoir son cadeau tout de suite. Quand Marinette refuse, Noël se fait akumatiser par le Papillon. Devenu Maître Noël et armé d’une boule à neige magique, il envoie des jouets géants semer le chaos dans un Paris enneigé pour retrouver le Père Noël et avoir son cadeau en avance. Ladybug et Chat Noir ne devront pas lui faire de cadeau s’ils veulent arrêter ce jeune super vilain !
20220628, 23:33, Miraculous, Les aventures de Ladybug et Chat Noir, Gamer 2.0, Max a mis au point un nouveau jeu vidéo dans lequel les anciens akumatisés peuvent se battre les uns contre les autres. Mais aucun de ses amis ne peut l’aider à le tester car ils ont tous d’autres occupations. Marinette, elle, aimerait beaucoup aider Max, mais elle est encore plus débordée que d’habitude et a décidé d’arrêter les jeux vidéo. Déçu que même Marinette, la plus grande fan de jeux vidéo, rejette sa proposition, Max est à nouveau akumatisé par le Papillon. Devenu Gamer 2.0, il capture tous les anciens akumatisés et les enferme dans une version grandeur nature de son jeu !
20220628, 23:56, Miraculous, Les aventures de Ladybug et Chat Noir, Climatika 2, Alors que Marinette et Adrien discutent avec leurs kwamis respectifs et se rendent compte de combien leurs vies ont changé depuis qu’ils sont devenus Ladybug et Chat Noir, Aurore Boréale est à nouveau akumatisée après une méchante réflexion de Chloé. Devenue Climatika 2, elle veut prouver sa puissance en plongeant la Terre dans un hiver perpétuel. Pour l’arrêter, Ladybug et Chat Noir devront faire preuve de sang-froid !
